# Program:featureCounts v1.4.6-p3; Command:"featureCounts" "-t" "gene" "-g" "ID" "-F" "GTF" "-T" "4" "-a" "index/reference.gff" "-o" "counts.txt" "bam/SRR10379724.bam" "bam/SRR10379725.bam" "bam/SRR10379726.bam" "bam/SRR10379721.bam" "bam/SRR10379722.bam" "bam/SRR10379723.bam" 
Geneid	Chr	Start	End	Strand	Length	bam/SRR10379724.bam	bam/SRR10379725.bam	bam/SRR10379726.bam	bam/SRR10379721.bam	bam/SRR10379722.bam	bam/SRR10379723.bam
gene-SAOUHSC_00716	CP000253.1	700910	701383	-	474	18542	15714	1009	16177	11327	9251
gene-SAOUHSC_00717	CP000253.1	701725	702165	-	441	24272	23690	476	24767	16837	13048
gene-SAOUHSC_00718	CP000253.1	702445	703029	-	585	1418	1503	208	2273	1222	2438
gene-SAOUHSC_00719	CP000253.1	703128	703841	-	714	3200	4507	1284	8527	6525	7689
gene-SAOUHSC_00720	CP000253.1	703845	704264	-	420	1244	1925	140	3121	2584	2858
gene-SAOUHSC_00721	CP000253.1	704266	704934	-	669	1109	1916	145	3400	2624	3292
gene-SAOUHSC_00722	CP000253.1	705285	705878	+	594	286	260	63	430	324	340
gene-SAOUHSC_00723	CP000253.1	705862	707013	+	1152	747	1002	262	1223	824	940
gene-SAOUHSC_00724	CP000253.1	707013	707621	+	609	614	914	98	834	632	700
gene-SAOUHSC_00725	CP000253.1	707687	707893	+	207	559	562	26	372	301	373
gene-SAOUHSC_00726	CP000253.1	707981	708691	+	711	2079	2769	248	1866	1378	1576
gene-SAOUHSC_00727	CP000253.1	708675	709679	+	1005	3281	3902	807	3309	2494	2816
gene-SAOUHSC_00728	CP000253.1	710153	712093	+	1941	75353	61564	6221	252054	170462	213768
gene-SAOUHSC_A00703	CP000253.1	712235	712393	-	159	20	26	0	17	11	21
gene-SAOUHSC_00729	CP000253.1	712364	714247	+	1884	9759	14135	2331	18227	12092	13779
gene-SAOUHSC_00730	CP000253.1	714259	716040	+	1782	14404	21477	2178	32573	19982	25404
gene-SAOUHSC_00731	CP000253.1	716262	717239	+	978	5287	7345	2807	2007	1877	1140
gene-SAOUHSC_00732	CP000253.1	717232	718746	+	1515	8800	11524	1621	5504	4104	3310
gene-SAOUHSC_00733	CP000253.1	718986	720044	+	1059	6500	8462	1052	1002	877	699
gene-SAOUHSC_00734	CP000253.1	720395	720937	+	543	5819	7025	574	2625	1942	1823
gene-SAOUHSC_00735	CP000253.1	721050	721148	+	99	706	1076	223	356	244	246
gene-SAOUHSC_00736	CP000253.1	721561	722478	-	918	19398	18136	3411	10013	10552	6631
gene-SAOUHSC_00737	CP000253.1	722569	722670	+	102	26	39	7	12	11	12
gene-SAOUHSC_00738	CP000253.1	722748	724253	-	1506	40726	41845	9085	6938	6507	4253
gene-SAOUHSC_00739	CP000253.1	724594	725094	-	501	1547	1974	505	2540	2029	2145
gene-SAOUHSC_00740	CP000253.1	725114	725848	-	735	2494	3318	186	3487	2716	2874
gene-SAOUHSC_00741	CP000253.1	726781	727179	+	399	10523	12982	1783	3940	2849	2632
gene-SAOUHSC_00742	CP000253.1	727082	729247	+	2166	92879	110398	12660	37650	25853	23957
gene-SAOUHSC_00743	CP000253.1	729365	730336	+	972	51884	59168	5625	18466	12833	11853
gene-SAOUHSC_00744	CP000253.1	730469	730573	+	105	88	57	52	385	172	207
gene-SAOUHSC_00745	CP000253.1	730850	731005	+	156	4	6	4	15	4	11
gene-SAOUHSC_00746	CP000253.1	731044	732015	+	972	653	740	89	1149	983	790
gene-SAOUHSC_00747	CP000253.1	732002	732958	+	957	392	471	14	828	621	702
gene-SAOUHSC_00748	CP000253.1	732955	733716	+	762	184	201	17	752	561	548
gene-SAOUHSC_00749	CP000253.1	733835	734863	+	1029	593	872	93	1637	1247	1245
gene-SAOUHSC_00751	CP000253.1	735180	735494	-	315	1486	1706	188	1299	1027	969
gene-SAOUHSC_00752	CP000253.1	735512	736435	-	924	2430	2382	561	2121	1470	1368
gene-SAOUHSC_00753	CP000253.1	736562	737080	-	519	681	797	34	342	279	239
gene-SAOUHSC_00754	CP000253.1	737200	738078	+	879	1312	1684	100	1881	1135	1393
gene-SAOUHSC_00755	CP000253.1	738232	738552	+	321	4212	4803	327	9297	8239	6616
gene-SAOUHSC_00756	CP000253.1	738977	740101	+	1125	3802	4851	1392	4795	4664	3419
gene-SAOUHSC_00757	CP000253.1	740290	741516	-	1227	6900	8200	2118	10185	6934	7088
gene-SAOUHSC_00758	CP000253.1	741530	742024	-	495	643	810	135	725	514	479
gene-SAOUHSC_00759	CP000253.1	742042	742803	-	762	784	830	142	861	611	582
gene-SAOUHSC_00760	CP000253.1	742999	744069	-	1071	4625	4260	331	26168	20015	27110
gene-SAOUHSC_00762	CP000253.1	744387	745442	+	1056	4066	5960	665	2913	2079	2317
gene-SAOUHSC_00763	CP000253.1	745612	746253	-	642	3033	3255	958	2456	1784	1353
gene-SAOUHSC_00764	CP000253.1	746397	746780	+	384	3961	2522	336	5112	3432	3855
gene-SAOUHSC_00765	CP000253.1	747288	748226	+	939	264	219	10	791	728	719
gene-SAOUHSC_00766	CP000253.1	748219	748893	+	675	369	452	67	762	555	568
gene-SAOUHSC_00767	CP000253.1	748954	749526	+	573	51050	68782	7091	20470	17515	10749
gene-SAOUHSC_00769	CP000253.1	749940	752471	+	2532	44184	54896	14878	42036	32380	25727
gene-SAOUHSC_00770	CP000253.1	752513	752617	+	105	102	126	44	87	63	82
gene-SAOUHSC_00771	CP000253.1	753021	753896	+	876	4312	6816	2162	4046	2772	2956
gene-SAOUHSC_00772	CP000253.1	754050	754157	+	108	16	17	4	23	11	20
gene-SAOUHSC_00773	CP000253.1	754305	755144	+	840	495	690	59	1477	1106	1152
gene-SAOUHSC_00774	CP000253.1	755318	755968	+	651	1910	2964	147	633	306	383
gene-SAOUHSC_00775	CP000253.1	755965	756201	+	237	527	607	23	224	106	119
gene-SAOUHSC_00776	CP000253.1	756470	757501	+	1032	2431	2583	460	5953	4294	4406
gene-SAOUHSC_00778	CP000253.1	757511	758527	+	1017	0	0	0	0	0	0
gene-SAOUHSC_A00747	CP000253.1	758565	758723	-	159	0	0	0	0	0	0
gene-SAOUHSC_00779	CP000253.1	758680	759654	+	975	3535	3822	551	7943	5628	5987
gene-SAOUHSC_00780	CP000253.1	759662	762508	+	2847	16016	15643	5590	35449	25828	29223
gene-SAOUHSC_00781	CP000253.1	763170	764102	+	933	6375	9551	1598	2184	2046	1247
gene-SAOUHSC_00782	CP000253.1	764108	764947	+	840	2825	4645	920	789	749	486
gene-SAOUHSC_00783	CP000253.1	764955	765440	+	486	1648	2596	330	569	489	363
gene-SAOUHSC_00784	CP000253.1	765448	766887	+	1440	4980	5888	400	2538	2002	1623
gene-SAOUHSC_00785	CP000253.1	766954	767889	+	936	15583	20815	7298	9235	7491	4181
gene-SAOUHSC_00786	CP000253.1	768263	768688	-	426	2143	2176	1469	1509	1413	826
gene-SAOUHSC_00787	CP000253.1	768982	769794	+	813	5168	8651	880	3512	3495	2214
gene-SAOUHSC_00788	CP000253.1	769791	770786	+	996	26993	35569	16603	11297	12422	7231
gene-SAOUHSC_00789	CP000253.1	770896	771840	+	945	27958	38990	8152	16657	16011	10709
gene-SAOUHSC_T0005	CP000253.1	772155	772226	-	72	385	532	77	166	176	111
gene-SAOUHSC_00790	CP000253.1	772413	773000	+	588	16079	13389	1579	19174	15235	11461
gene-SAOUHSC_00792	CP000253.1	773243	774145	-	903	15044	15984	4436	3515	3416	2461
gene-SAOUHSC_00793	CP000253.1	774848	775477	+	630	24526	44754	15537	6315	6802	4690
gene-SAOUHSC_00794	CP000253.1	776119	777132	+	1014	101899	74489	33455	38821	30586	24713
gene-SAOUHSC_00795	CP000253.1	777185	778195	+	1011	300993	267062	93871	58028	47891	34787
gene-SAOUHSC_00796	CP000253.1	778334	779524	+	1191	85494	81048	21419	14556	10670	8530
gene-SAOUHSC_00797	CP000253.1	779646	780407	+	762	79133	89932	22622	14437	11782	9145
gene-SAOUHSC_00798	CP000253.1	780410	781927	+	1518	147139	154437	86821	29029	22350	17653
gene-SAOUHSC_00799	CP000253.1	782057	783361	+	1305	153937	148900	104091	39946	31368	21653
gene-SAOUHSC_00800	CP000253.1	783701	784159	+	459	5197	5053	155	3642	2707	3237
gene-SAOUHSC_00801	CP000253.1	784184	784459	+	276	8351	13540	5818	9404	8990	7148
gene-SAOUHSC_00802	CP000253.1	784575	785315	+	741	9169	12632	1993	16299	17053	14723
gene-SAOUHSC_00803	CP000253.1	785349	787721	+	2373	49281	56371	11358	71510	74542	62885
gene-SAOUHSC_00804	CP000253.1	787743	788207	+	465	10736	14458	3402	15659	15599	13467
gene-SAOUHSC_00805	CP000253.1	788981	789262	+	282	185	184	13	218	152	170
gene-SAOUHSC_00806	CP000253.1	789529	789852	-	324	332	536	46	1248	731	1310
gene-SAOUHSC_00807	CP000253.1	789868	790014	-	147	213	245	51	887	503	655
gene-SAOUHSC_00808	CP000253.1	790206	790934	-	729	865	947	85	2156	1340	1832
gene-SAOUHSC_00809	CP000253.1	791370	791525	+	156	6	3	1	11	10	7
gene-SAOUHSC_00810	CP000253.1	791533	792054	+	522	507	913	135	189	220	166
gene-SAOUHSC_00811	CP000253.1	792193	792723	+	531	1590	2944	492	850	781	691
gene-SAOUHSC_00812	CP000253.1	792986	795769	+	2784	122982	112338	130685	115746	118126	74173
gene-SAOUHSC_00813	CP000253.1	795990	796109	+	120	170	75	20	149	131	109
gene-SAOUHSC_00814	CP000253.1	796163	797515	+	1353	2404	881	111	2867	1849	1889
gene-SAOUHSC_00816	CP000253.1	797866	798888	+	1023	2066	1726	180	1079	791	752
gene-SAOUHSC_00817	CP000253.1	799223	799693	+	471	994	882	259	580	475	300
gene-SAOUHSC_00818	CP000253.1	800034	800720	+	687	79	81	6	372	213	304
gene-SAOUHSC_00819	CP000253.1	801077	801277	+	201	91542	61427	14246	52982	38287	33128
gene-SAOUHSC_00820	CP000253.1	801773	801991	-	219	3087	2732	276	1869	1644	1406
gene-SAOUHSC_00821	CP000253.1	802053	802337	-	285	1840	1672	206	974	974	739
gene-SAOUHSC_00822	CP000253.1	802425	802994	-	570	974	1223	319	593	544	421
gene-SAOUHSC_00823	CP000253.1	803182	803370	-	189	2301	1963	227	1039	792	997
gene-SAOUHSC_00824	CP000253.1	803399	803659	-	261	2095	2745	316	995	752	825
gene-SAOUHSC_00825	CP000253.1	804000	804203	+	204	34740	56336	2818	11153	14044	8469
gene-SAOUHSC_00826	CP000253.1	804200	804436	-	237	11324	12902	646	3420	3536	2491
gene-SAOUHSC_00827	CP000253.1	804682	805242	+	561	1671	1401	456	7180	5444	6496
gene-SAOUHSC_00828	CP000253.1	805315	805932	-	618	6136	5595	539	1785	1375	1406
gene-SAOUHSC_00830	CP000253.1	806087	806581	-	495	7174	6329	464	8499	6956	6866
gene-SAOUHSC_00831	CP000253.1	806980	807402	-	423	6430	7519	3527	2624	2943	1820
gene-SAOUHSC_00832	CP000253.1	807550	808266	+	717	656	695	43	1027	811	747
gene-SAOUHSC_00833	CP000253.1	808349	808888	+	540	4353	6563	1393	8774	6957	5891
gene-SAOUHSC_00834	CP000253.1	809038	809358	-	321	2733	2252	843	1737	1322	798
gene-SAOUHSC_00835	CP000253.1	809502	809858	+	357	3173	5475	129	539	400	281
gene-SAOUHSC_00836	CP000253.1	810016	810396	+	381	11967	16617	1044	4367	3617	2711
gene-SAOUHSC_00837	CP000253.1	810460	810573	+	114	78	152	7	55	56	65
gene-SAOUHSC_00838	CP000253.1	810575	811453	+	879	1312	1249	129	1777	1711	1296
gene-SAOUHSC_00839	CP000253.1	811872	811985	+	114	184	203	61	240	208	174
gene-SAOUHSC_00840	CP000253.1	812195	812581	+	387	1658	1462	228	1155	1122	833
gene-SAOUHSC_00841	CP000253.1	812574	812870	+	297	1075	1214	157	564	615	510
gene-SAOUHSC_00842	CP000253.1	813120	814145	+	1026	30854	54293	11158	13683	10614	13206
gene-SAOUHSC_00843	CP000253.1	814138	814833	+	696	10934	20506	3897	7323	5739	6695
gene-SAOUHSC_00844	CP000253.1	814851	815672	+	822	16715	37196	3099	15595	11173	15853
gene-SAOUHSC_00845	CP000253.1	816026	816220	+	195	122873	130021	5858	69354	54971	36983
gene-SAOUHSC_00846	CP000253.1	816453	817304	-	852	15655	17750	5028	28400	30693	22122
gene-SAOUHSC_00847	CP000253.1	817632	818393	+	762	26798	26421	6108	55197	57156	42768
gene-SAOUHSC_00848	CP000253.1	818491	819798	+	1308	44233	37153	8516	105951	98967	79697
gene-SAOUHSC_00849	CP000253.1	819904	821154	+	1251	45495	47230	19335	117569	109869	89983
gene-SAOUHSC_00850	CP000253.1	821144	821608	+	465	18455	21091	7115	51937	50034	41121
gene-SAOUHSC_00851	CP000253.1	821759	823156	+	1398	49946	61920	9548	129714	113163	97916
gene-SAOUHSC_00852	CP000253.1	823343	823480	+	138	221	340	16	118	81	129
gene-SAOUHSC_00853	CP000253.1	823486	823800	-	315	305	202	18	148	110	139
gene-SAOUHSC_00854	CP000253.1	824165	825205	+	1041	6133	7007	1408	2135	1794	1343
gene-SAOUHSC_00855	CP000253.1	825219	826286	+	1068	3180	4149	2372	1388	1182	860
gene-SAOUHSC_00857	CP000253.1	826353	826451	+	99	50	87	47	88	68	57
gene-SAOUHSC_00858	CP000253.1	826499	827347	+	849	1502	1754	131	1162	895	625
gene-SAOUHSC_00859	CP000253.1	827360	828187	+	828	995	1121	237	747	517	464
gene-SAOUHSC_00860	CP000253.1	828214	829533	+	1320	2694	3298	378	2064	1613	1180
gene-SAOUHSC_00861	CP000253.1	829617	830534	+	918	17635	19017	4089	10382	9756	7164
gene-SAOUHSC_00862	CP000253.1	830664	831047	+	384	1373	1393	144	745	666	494
gene-SAOUHSC_00863	CP000253.1	831126	831392	-	267	897	1035	49	940	724	611
gene-SAOUHSC_00864	CP000253.1	831490	831924	+	435	944	1100	50	430	373	306
gene-SAOUHSC_00865	CP000253.1	831924	832703	+	780	2007	2049	340	1094	814	752
gene-SAOUHSC_00866	CP000253.1	832811	833695	+	885	2941	3510	646	2195	1750	1444
gene-SAOUHSC_00867	CP000253.1	833949	834059	+	111	1	4	1	1	1	2
gene-SAOUHSC_00868	CP000253.1	834056	834259	+	204	2263	8209	189	358	351	435
gene-SAOUHSC_00869	CP000253.1	834275	835732	+	1458	35705	53975	3372	12736	11238	8993
gene-SAOUHSC_00870	CP000253.1	835729	836943	+	1215	14820	14813	651	7314	5857	5800
gene-SAOUHSC_00871	CP000253.1	836961	837197	+	237	3091	5523	179	1698	1323	1672
gene-SAOUHSC_00872	CP000253.1	837194	838369	+	1176	18417	19902	1039	12484	9655	9125
gene-SAOUHSC_00873	CP000253.1	838632	838874	-	243	6275	5424	989	7074	4439	4507
gene-SAOUHSC_00874	CP000253.1	838975	839298	+	324	472	498	56	1167	614	902
gene-SAOUHSC_00875	CP000253.1	839357	840421	-	1065	9108	8588	3375	11302	8841	7354
gene-SAOUHSC_00876	CP000253.1	840738	840974	+	237	1948	3016	465	1286	918	628
gene-SAOUHSC_00877	CP000253.1	840987	841346	+	360	2981	3129	806	1849	1453	918
gene-SAOUHSC_00878	CP000253.1	841800	843008	+	1209	25361	27203	6334	17531	13461	10760
gene-SAOUHSC_00879	CP000253.1	843139	844614	+	1476	2665	3687	486	2241	1648	1151
gene-SAOUHSC_00880	CP000253.1	845025	846341	+	1317	9955	6424	1070	7956	6867	5331
gene-SAOUHSC_00881	CP000253.1	846360	846734	+	375	4569	4755	767	4855	4099	3194
gene-SAOUHSC_00882	CP000253.1	846790	847944	-	1155	341	474	67	8364	4418	3584
gene-SAOUHSC_00883	CP000253.1	848193	848549	-	357	3710	4517	457	2495	1634	1705
gene-SAOUHSC_00884	CP000253.1	848527	848820	-	294	1433	1444	743	831	693	541
gene-SAOUHSC_00885	CP000253.1	848820	849299	-	480	5471	9280	811	3023	2533	2422
gene-SAOUHSC_00886	CP000253.1	849301	850797	-	1497	13756	16283	2412	7681	6567	5281
gene-SAOUHSC_00887	CP000253.1	850790	851119	-	330	3448	5223	507	1814	1557	1209
gene-SAOUHSC_00888	CP000253.1	851131	851559	-	429	3767	4481	501	1797	1473	1240
gene-SAOUHSC_00889	CP000253.1	851552	853957	-	2406	21966	28530	4098	9420	7998	5902
gene-SAOUHSC_00890	CP000253.1	854088	854471	-	384	502	590	52	392	227	239
gene-SAOUHSC_00891	CP000253.1	854535	855128	+	594	5100	5278	2591	4565	3301	2619
gene-SAOUHSC_00892	CP000253.1	855577	855921	+	345	6989	8769	2171	5854	5366	3668
gene-SAOUHSC_00893	CP000253.1	856283	857410	+	1128	3290	5626	1770	1663	1253	800
gene-SAOUHSC_00894	CP000253.1	857718	858908	+	1191	15212	19479	2739	5378	5790	2936
gene-SAOUHSC_00895	CP000253.1	859017	860261	+	1245	24337	31573	7505	17472	17173	10864
gene-SAOUHSC_00896	CP000253.1	860487	860678	+	192	858	868	919	2004	1807	1065
gene-SAOUHSC_00897	CP000253.1	860764	861693	-	930	1188	1529	187	1287	986	1080
gene-SAOUHSC_00898	CP000253.1	861935	863314	-	1380	1904	8013	631	33519	30242	43941
gene-SAOUHSC_00899	CP000253.1	863304	864509	-	1206	1254	7235	1333	17020	15221	21890
gene-SAOUHSC_00900	CP000253.1	864860	866191	+	1332	21618	21581	3188	9900	7080	5537
gene-SAOUHSC_00901	CP000253.1	866516	867091	+	576	4208	7130	401	2664	1977	2103
gene-SAOUHSC_00902	CP000253.1	867096	867620	+	525	3798	5752	1136	2624	2271	2046
gene-SAOUHSC_00903	CP000253.1	867744	868211	+	468	2828	3677	273	2938	2530	1836
gene-SAOUHSC_00904	CP000253.1	868371	871847	+	3477	6367	7723	905	6828	5673	4791
gene-SAOUHSC_00905	CP000253.1	871848	875501	+	3654	10920	13008	2385	13186	10662	9850
gene-SAOUHSC_00906	CP000253.1	875667	876569	+	903	20087	25582	7521	9450	7646	5766
gene-SAOUHSC_00907	CP000253.1	876898	877287	+	390	1554	1656	503	1541	1079	1012
gene-SAOUHSC_00908	CP000253.1	877458	878774	-	1317	11909	13402	4822	6576	5856	3841
gene-SAOUHSC_00909	CP000253.1	878826	879650	-	825	4124	4548	778	3239	2643	2074
gene-SAOUHSC_00910	CP000253.1	879806	880072	+	267	5827	7456	915	2923	3098	1926
gene-SAOUHSC_00911	CP000253.1	880619	882433	+	1815	580	550	38	2957	1709	1907
gene-SAOUHSC_00912	CP000253.1	882636	885245	+	2610	59158	19004	1754	370983	361532	242779
gene-SAOUHSC_00913	CP000253.1	885304	886173	-	870	92	65	2	478	589	498
gene-SAOUHSC_00914	CP000253.1	886283	887428	+	1146	63	47	4	639	896	629
gene-SAOUHSC_00915	CP000253.1	887412	888053	+	642	75	84	10	312	448	388
gene-SAOUHSC_00916	CP000253.1	888046	889164	+	1119	145	130	14	231	225	229
gene-SAOUHSC_00917	CP000253.1	889148	889663	+	516	187	216	25	259	316	199
gene-SAOUHSC_00918	CP000253.1	889974	890408	+	435	735	676	474	2082	1662	1760
gene-SAOUHSC_00919	CP000253.1	890665	890850	-	186	3829	2771	123	1677	1348	1033
gene-SAOUHSC_00920	CP000253.1	891145	892086	+	942	4096	7695	3228	2069	1641	1596
gene-SAOUHSC_00921	CP000253.1	892098	893342	+	1245	17900	27812	16679	8508	6824	6039
gene-SAOUHSC_00922	CP000253.1	893397	893768	-	372	302	262	14	91	51	48
gene-SAOUHSC_00923	CP000253.1	894011	894937	+	927	5235	4855	470	564	439	416
gene-SAOUHSC_00924	CP000253.1	894937	896007	+	1071	4839	5576	1100	774	641	609
gene-SAOUHSC_00925	CP000253.1	896024	897106	+	1083	7963	11653	3099	1567	1392	1434
gene-SAOUHSC_00926	CP000253.1	897096	898037	+	942	8333	12497	3042	1781	1322	1744
gene-SAOUHSC_00927	CP000253.1	898056	899711	+	1656	22710	30765	6603	7290	4956	6443
gene-SAOUHSC_00928	CP000253.1	899923	901638	+	1716	461	718	108	607	337	348
gene-SAOUHSC_00929	CP000253.1	901689	902675	+	987	194	271	20	290	165	174
gene-SAOUHSC_00930	CP000253.1	902678	903658	+	981	310	445	75	395	216	238
gene-SAOUHSC_00931	CP000253.1	903651	904613	+	963	773	963	52	396	201	265
gene-SAOUHSC_00932	CP000253.1	904625	905506	+	882	441	561	136	641	388	430
gene-SAOUHSC_00933	CP000253.1	905548	906537	-	990	5226	6504	543	4150	2803	3347
gene-SAOUHSC_00934	CP000253.1	906832	907227	+	396	203599	252830	36562	377314	306689	283089
gene-SAOUHSC_00935	CP000253.1	907598	908317	+	720	31544	39610	3339	34313	29854	19274
gene-SAOUHSC_00936	CP000253.1	908438	909424	+	987	90	149	12	307	248	255
gene-SAOUHSC_00937	CP000253.1	909472	911280	+	1809	5947	8278	829	1374	910	795
gene-SAOUHSC_00938	CP000253.1	911740	912546	-	807	3554	4270	467	3428	2576	2193
gene-SAOUHSC_00939	CP000253.1	912569	912886	-	318	2215	2638	196	1395	999	813
gene-SAOUHSC_00940	CP000253.1	913038	913631	-	594	1342	1010	74	624	437	341
gene-SAOUHSC_00941	CP000253.1	913817	914164	+	348	2084	2998	123	1503	1216	1033
gene-SAOUHSC_00942	CP000253.1	914181	914816	+	636	4850	6845	965	4080	3414	2633
gene-SAOUHSC_00943	CP000253.1	914833	915642	+	810	7203	8067	1558	7014	5785	4552
gene-SAOUHSC_00944	CP000253.1	915639	916493	+	855	2455	3416	471	2336	1714	1651
gene-SAOUHSC_00945	CP000253.1	916514	917899	+	1386	3903	6290	1154	3636	3198	2790
gene-SAOUHSC_00946	CP000253.1	917909	919753	+	1845	7491	8817	1212	6153	5052	4742
gene-SAOUHSC_00947	CP000253.1	920031	920801	+	771	13964	13800	1617	11155	8697	7362
gene-SAOUHSC_00948	CP000253.1	920996	922081	-	1086	12196	12179	681	4052	3313	2962
gene-SAOUHSC_00949	CP000253.1	922423	923991	+	1569	17341	19955	2329	1119	1148	726
gene-SAOUHSC_00950	CP000253.1	924133	924891	+	759	2369	2413	257	846	729	626
gene-SAOUHSC_00951	CP000253.1	925085	925594	+	510	13990	15292	1083	9987	7090	6452
gene-SAOUHSC_00952	CP000253.1	925707	926915	-	1209	3499	3109	278	6782	4457	4537
gene-SAOUHSC_00953	CP000253.1	926875	928050	-	1176	5952	6899	629	7415	5459	4960
gene-SAOUHSC_00954	CP000253.1	928483	929964	+	1482	4832	6208	1668	5007	4137	3992
gene-SAOUHSC_00955	CP000253.1	929948	930208	+	261	753	1432	199	920	635	928
gene-SAOUHSC_00956	CP000253.1	930208	931770	+	1563	7731	9902	2202	11046	8140	9584
gene-SAOUHSC_00957	CP000253.1	932072	932875	+	804	8413	6987	4118	3831	3419	2436
gene-SAOUHSC_00958	CP000253.1	933094	935418	+	2325	2191	3043	262	2680	2000	2046
gene-SAOUHSC_00959	CP000253.1	935435	936793	+	1359	4632	5718	545	7426	5489	6069
gene-SAOUHSC_00960	CP000253.1	936932	938443	+	1512	4383	4807	726	3012	1987	2077
gene-SAOUHSC_T00049	CP000253.1	938623	938711	-	89	163	11	304	275	213	108
gene-SAOUHSC_T0008	CP000253.1	938714	938788	-	75	111	46	74	298	237	283
gene-SAOUHSC_00961	CP000253.1	938930	939460	-	531	538	557	54	15738	9755	17190
gene-SAOUHSC_00962	CP000253.1	939709	939927	+	219	40355	64057	13465	2844	3017	1636
gene-SAOUHSC_00963	CP000253.1	940008	940994	-	987	2441	3614	268	1598	1314	1007
gene-SAOUHSC_00964	CP000253.1	941193	941369	+	177	2169	2364	81	1832	1604	1295
gene-SAOUHSC_00965	CP000253.1	941384	941986	+	603	7908	6150	685	6259	4493	5094
gene-SAOUHSC_00966	CP000253.1	942257	942364	+	108	2260	806	1533	2447	2125	1168
gene-SAOUHSC_00967	CP000253.1	942903	943004	+	102	7	15	1	12	20	16
gene-SAOUHSC_00968	CP000253.1	943330	945294	+	1965	937	958	121	413	260	309
gene-SAOUHSC_00969	CP000253.1	945297	945617	+	321	222	288	26	223	131	203
gene-SAOUHSC_00970	CP000253.1	945614	946255	+	642	406	303	49	592	395	432
gene-SAOUHSC_00971	CP000253.1	946343	946633	-	291	1022	288	43	1001	532	1011
gene-SAOUHSC_00972	CP000253.1	946912	947199	+	288	382	365	21	114	77	83
gene-SAOUHSC_00973	CP000253.1	947205	947912	+	708	980	811	76	364	250	337
gene-SAOUHSC_00974	CP000253.1	947905	948687	+	783	1622	1755	90	2205	1412	1499
gene-SAOUHSC_00975	CP000253.1	948776	949132	-	357	4140	3576	105	855	578	568
gene-SAOUHSC_00976	CP000253.1	949716	950579	+	864	321	292	59	1228	1013	1062
gene-SAOUHSC_00977	CP000253.1	950625	950756	-	132	2330	2826	210	499	489	277
gene-SAOUHSC_00978	CP000253.1	950820	951110	-	291	160	127	8	87	77	73
gene-SAOUHSC_00979	CP000253.1	951200	951751	+	552	653	710	66	438	302	296
gene-SAOUHSC_00980	CP000253.1	951802	952740	-	939	4299	4702	526	8408	5243	6914
gene-SAOUHSC_00981	CP000253.1	952891	952995	+	105	153	112	20	337	250	186
gene-SAOUHSC_00982	CP000253.1	953072	954283	+	1212	1394	1529	128	2756	1882	1693
gene-SAOUHSC_00983	CP000253.1	954270	955943	+	1674	6797	8677	2107	7559	5600	4228
gene-SAOUHSC_00984	CP000253.1	955930	956733	+	804	3680	4221	658	4921	3288	3083
gene-SAOUHSC_00985	CP000253.1	956726	957547	+	822	11665	11491	3672	12085	9486	6950
gene-SAOUHSC_00986	CP000253.1	957786	958115	-	330	327	444	52	2089	1082	1808
gene-SAOUHSC_00987	CP000253.1	958153	959334	-	1182	1007	1097	130	5763	3173	5351
gene-SAOUHSC_00988	CP000253.1	959416	960426	-	1011	637	683	204	4210	2277	3978
gene-SAOUHSC_00989	CP000253.1	960954	962108	-	1155	8728	13371	1429	2667	2356	1789
gene-SAOUHSC_00991	CP000253.1	962304	963314	-	1011	1454	1262	81	930	671	774
gene-SAOUHSC_00992	CP000253.1	963467	963886	+	420	299	260	16	1640	1058	1449
gene-SAOUHSC_00993	CP000253.1	963913	964023	+	111	63	41	2	339	221	293
gene-SAOUHSC_00994	CP000253.1	964093	967863	-	3771	62164	62506	18945	25407	23937	23958
gene-SAOUHSC_00995	CP000253.1	968091	968525	-	435	685	833	191	551	421	406
gene-SAOUHSC_00996	CP000253.1	968680	969150	-	471	7520	9170	573	14182	8588	10075
gene-SAOUHSC_00997	CP000253.1	969198	970415	-	1218	16141	23675	3263	26302	17345	19682
gene-SAOUHSC_00998	CP000253.1	970866	972059	+	1194	2056	1960	91	12215	7952	11556
gene-SAOUHSC_00999	CP000253.1	972596	972874	-	279	19382	14700	2401	12045	11143	7193
gene-SAOUHSC_01000	CP000253.1	972883	973488	-	606	39644	40188	10828	24853	23250	16720
gene-SAOUHSC_01001	CP000253.1	973478	975466	-	1989	131576	148876	56497	73212	72072	53963
gene-SAOUHSC_01002	CP000253.1	975466	976566	-	1101	71270	85454	18297	30609	31942	23069
gene-SAOUHSC_01003	CP000253.1	976868	976990	+	123	38	46	4	81	42	85
gene-SAOUHSC_01005	CP000253.1	977138	977455	-	318	9863	18084	759	24303	20215	18108
gene-SAOUHSC_01007	CP000253.1	978261	979121	-	861	11982	14961	1713	19837	14096	13907
gene-SAOUHSC_01008	CP000253.1	979385	979804	+	420	7004	7387	3190	1784	1938	1220
gene-SAOUHSC_01009	CP000253.1	979791	980915	+	1125	14328	23914	3865	5031	5614	3844
gene-SAOUHSC_01010	CP000253.1	980919	981623	+	705	4099	7397	1798	1514	1596	1144
gene-SAOUHSC_01011	CP000253.1	981623	981886	+	264	2915	3565	459	1208	1134	884
gene-SAOUHSC_01012	CP000253.1	981888	982559	+	672	7481	13394	2257	3544	3517	2704
